[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
